Date,Open,High,Low,Close,Adj Close,Volume
2004-01-16,38.387501,38.387501,38.387501,38.387501,27.191580,0
2004-01-19,38.387501,38.387501,38.387501,38.387501,27.191580,0
2004-01-20,38.387501,38.387501,38.387501,38.387501,27.191580,0
2004-01-21,38.387501,38.387501,38.387501,38.387501,27.191580,0
2004-01-22,38.387501,38.387501,38.387501,38.387501,27.191580,0
2004-01-23,38.387501,38.387501,38.387501,38.387501,27.191580,0
2004-01-26,38.387501,38.387501,38.387501,38.387501,27.191580,0
2004-01-27,38.387501,38.387501,38.387501,38.387501,27.191580,0
2004-01-28,38.387501,38.387501,38.387501,38.387501,27.191580,0
2004-01-29,38.387501,38.387501,38.387501,38.387501,27.191580,0
2004-01-30,38.387501,38.387501,38.387501,38.387501,27.191580,0
2004-02-02,38.387501,38.387501,38.387501,38.387501,27.191580,0
2004-02-03,38.387501,38.387501,38.387501,38.387501,27.191580,0
2004-02-04,38.387501,38.387501,38.387501,38.387501,27.191580,0
2004-02-05,38.387501,38.387501,38.387501,38.387501,27.191580,0
2004-02-06,38.387501,38.387501,38.387501,38.387501,27.191580,0
2004-02-09,38.387501,38.387501,38.387501,38.387501,27.191580,0
2004-02-10,38.387501,38.387501,38.387501,38.387501,27.191580,0
2004-02-11,38.387501,38.387501,38.387501,38.387501,27.191580,0
2004-02-12,38.387501,38.387501,38.387501,38.387501,27.191580,0
2004-02-13,38.387501,38.387501,38.387501,38.387501,27.191580,0
2004-02-16,38.387501,38.387501,38.387501,38.387501,27.191580,0
2004-02-17,38.387501,38.387501,38.387501,38.387501,27.191580,0
2004-02-18,38.387501,38.387501,38.387501,38.387501,27.191580,0
2004-02-19,38.387501,38.387501,38.387501,38.387501,27.191580,0
2004-02-20,38.387501,38.387501,38.387501,38.387501,27.191580,0
2004-02-23,38.387501,38.387501,38.387501,38.387501,27.191580,0
2004-02-24,38.387501,38.387501,38.387501,38.387501,27.191580,0
2004-02-25,38.387501,38.387501,38.387501,38.387501,27.191580,0
2004-02-26,38.387501,38.387501,38.387501,38.387501,27.191580,0
2004-02-27,38.387501,38.387501,38.387501,38.387501,27.191580,0
2004-03-01,38.387501,38.387501,38.387501,38.387501,27.191580,0
2004-03-02,38.387501,38.387501,38.387501,38.387501,27.191580,0
2004-03-03,38.387501,38.387501,38.387501,38.387501,27.191580,0
2004-03-04,38.387501,38.387501,38.387501,38.387501,27.191580,0
2004-03-05,38.387501,38.387501,38.387501,38.387501,27.191580,0
2004-03-08,38.387501,38.387501,38.387501,38.387501,27.191580,0
